right_db,left_db,RT,choice
21.0,19.0,0.1728515625,1.0
20.5,19.5,0.685546875,-1.0
16.0,24.0,0.2451171875,-1.0
22.0,18.0,0.3701171875,-1.0
12.0,28.0,0.115234375,-1.0
24.0,16.0,0.27734375,1.0
21.0,19.0,0.1767578125,1.0
28.0,12.0,0.12109375,1.0
28.0,12.0,0.12890625,1.0
20.5,19.5,0.416015625,-1.0
19.5,20.5,0.2470703125,-1.0
21.0,19.0,0.6953125,-1.0
22.0,18.0,0.11328125,1.0
16.0,24.0,0.1640625,-1.0
18.0,22.0,0.2958984375,-1.0
12.0,28.0,0.1083984375,-1.0
21.0,19.0,0.3251953125,-1.0
28.0,12.0,0.1337890625,1.0
19.0,21.0,0.1689453125,1.0
16.0,24.0,0.3037109375,-1.0
21.0,19.0,0.2509765625,1.0
12.0,28.0,0.1474609375,-1.0
19.5,20.5,0.3173828125,-1.0
12.0,28.0,0.404296875,-1.0
24.0,16.0,0.2431640625,1.0
28.0,12.0,0.248046875,1.0
20.5,19.5,0.9638671875,-1.0
21.0,19.0,0.2587890625,-1.0
22.0,18.0,0.4814453125,1.0
24.0,16.0,0.1162109375,1.0
28.0,12.0,0.0947265625,1.0
24.0,16.0,0.294921875,1.0
20.5,19.5,0.47265625,-1.0
16.0,24.0,0.1669921875,-1.0
24.0,16.0,0.0615234375,-1.0
19.0,21.0,0.4736328125,-1.0
22.0,18.0,0.40625,1.0
12.0,28.0,0.2802734375,-1.0
18.0,22.0,0.1572265625,-1.0
16.0,24.0,0.212890625,-1.0
19.0,21.0,0.2646484375,-1.0
28.0,12.0,0.3134765625,1.0
21.0,19.0,0.9033203125,-1.0
19.5,20.5,0.388671875,-1.0
22.0,18.0,0.3564453125,1.0
21.0,19.0,0.37890625,1.0
18.0,22.0,0.5419921875,-1.0
12.0,28.0,0.0654296875,-1.0
19.5,20.5,0.716796875,1.0
18.0,22.0,0.3671875,-1.0
21.0,19.0,0.01171875,-1.0
19.0,21.0,0.2578125,-1.0
18.0,22.0,0.15625,-1.0
20.5,19.5,0.044921875,-1.0
22.0,18.0,0.291015625,1.0
28.0,12.0,0.1025390625,1.0
21.0,19.0,0.2958984375,1.0
20.5,19.5,0.4072265625,1.0
16.0,24.0,0.53515625,-1.0
24.0,16.0,0.1435546875,1.0
22.0,18.0,0.2236328125,1.0
21.0,19.0,0.18359375,1.0
20.5,19.5,0.3095703125,1.0
12.0,28.0,0.123046875,-1.0
24.0,16.0,0.2001953125,1.0
20.5,19.5,0.33984375,1.0
18.0,22.0,0.1396484375,-1.0
19.5,20.5,0.576171875,1.0
28.0,12.0,0.29296875,1.0
20.5,19.5,0.3759765625,-1.0
22.0,18.0,0.27734375,1.0
19.0,21.0,0.119140625,-1.0
28.0,12.0,0.1494140625,1.0
22.0,18.0,0.138671875,1.0
16.0,24.0,0.568359375,-1.0
16.0,24.0,0.2451171875,-1.0
19.0,21.0,0.0546875,-1.0
24.0,16.0,0.3173828125,-1.0
19.0,21.0,0.3173828125,-1.0
20.5,19.5,0.3505859375,1.0
28.0,12.0,0.1357421875,1.0
21.0,19.0,0.130859375,1.0
18.0,22.0,0.3154296875,1.0
19.5,20.5,0.1142578125,1.0
19.0,21.0,0.2509765625,1.0
18.0,22.0,0.373046875,-1.0
16.0,24.0,0.4775390625,-1.0
20.5,19.5,0.2666015625,1.0
19.5,20.5,0.7041015625,-1.0
16.0,24.0,0.15234375,-1.0
12.0,28.0,0.142578125,-1.0
24.0,16.0,0.115234375,1.0
20.5,19.5,0.4013671875,-1.0
24.0,16.0,0.0302734375,1.0
18.0,22.0,0.26953125,1.0
16.0,24.0,0.2890625,-1.0
19.0,21.0,0.4755859375,-1.0
12.0,28.0,0.150390625,-1.0
18.0,22.0,0.1630859375,-1.0
18.0,22.0,0.46875,1.0
28.0,12.0,0.255859375,1.0
21.0,19.0,0.1064453125,1.0
22.0,18.0,0.15234375,1.0
12.0,28.0,0.291015625,-1.0
24.0,16.0,0.7041015625,-1.0
20.5,19.5,0.1591796875,1.0
16.0,24.0,0.455078125,-1.0
19.5,20.5,0.2333984375,-1.0
19.0,21.0,0.70703125,-1.0
28.0,12.0,0.2353515625,1.0
19.5,20.5,0.48046875,1.0
24.0,16.0,0.314453125,-1.0
16.0,24.0,0.2255859375,-1.0
20.5,19.5,0.416015625,-1.0
18.0,22.0,0.26171875,-1.0
21.0,19.0,0.279296875,1.0
18.0,22.0,0.2333984375,-1.0
20.5,19.5,0.2939453125,1.0
19.5,20.5,0.1787109375,1.0
19.0,21.0,0.1337890625,1.0
18.0,22.0,0.3515625,-1.0
21.0,19.0,0.24609375,1.0
12.0,28.0,0.17578125,-1.0
28.0,12.0,0.1962890625,1.0
20.5,19.5,0.3486328125,1.0
28.0,12.0,0.263671875,1.0
19.5,20.5,0.20703125,-1.0
22.0,18.0,0.1337890625,1.0
18.0,22.0,0.7998046875,-1.0
19.5,20.5,0.19140625,-1.0
24.0,16.0,0.4150390625,1.0
19.0,21.0,0.18359375,1.0
16.0,24.0,0.23828125,-1.0
24.0,16.0,0.1435546875,1.0
12.0,28.0,0.3544921875,-1.0
16.0,24.0,0.2646484375,-1.0
18.0,22.0,0.46875,-1.0
20.5,19.5,0.72265625,-1.0
19.5,20.5,0.205078125,-1.0
18.0,22.0,0.1494140625,-1.0
16.0,24.0,0.1630859375,-1.0
12.0,28.0,0.1533203125,-1.0
19.0,21.0,0.826171875,-1.0
20.5,19.5,0.955078125,-1.0
